product_id,product_name,product_type,product_description,issue_date,valid_till_date,account_status,credit_card_limit,interest_rate,tenure,service_charges,customer_id,fd_principal_amount,loan_collateral_value,loan_amount
3071,Super Saver Facility,fixed deposit,Super Saver Facility,3/6/2016,1/1/1999,open,0,8.5,12,0,2,150000,0,
4231,Foreign Education Loan,educational loan,Foreign Education Loan,5/28/2017,1/1/1999,open,0,10,120,0,396,0,750000,700000
3149,Sweep In Facility,fixed deposit,Sweep In Facility,8/30/2013,1/1/1999,open,0,8.5,12,0,4,150000,0,
2570,SavingsMax Account,savings account,SavingsMax Account,5/28/2017,1/1/1999,open,,,,0,396,,0,
690,Foreign Education Loan,educational loan,Foreign Education Loan,5/28/2017,1/1/1999,open,0,10,120,0,396,0,750000,700000
1435,Secure Personal Loan,Personal Loan,Secure Personal Loan,5/27/2017,1/1/1999,open,0,16,60,0,762,0,1100000,1000000
4012,Foreign Education Loan,educational loan,Foreign Education Loan,5/27/2017,1/1/1999,open,0,10,120,0,762,0,750000,700000
4252,SavingsMax Account,savings account,SavingsMax Account,5/27/2017,1/1/1999,open,,,,0,762,,0,
430,New Car Loan,car loan,New Car Loan,5/26/2017,1/1/1999,open,0,9.25,60,0,159,0,750000,700000
1129,Ergo Home Insurance,home insurance,Ergo Home Insurance,5/26/2017,1/1/1999,open,0,0,60,3000,159,0,0,0
3065,SavingsMax Account,savings account,SavingsMax Account,5/26/2017,1/1/1999,open,,,,0,159,,0,
3389,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,5/26/2017,1/1/1999,open,0,0,0,6000,159,0,0,0
175,Apex Current Account,current account,Apex Current Account,5/26/2017,1/1/1999,open,,,,0,159,,0,
3937,SavingsMax Account,savings account,SavingsMax Account,5/24/2017,1/1/1999,closed,,,,0,852,,0,
982,Apex Current Account,current account,Apex Current Account,5/24/2017,1/1/1999,open,,,,0,852,,0,
4415,Foreign Education Loan,educational loan,Foreign Education Loan,5/24/2017,1/1/1999,open,0,10,120,0,852,0,750000,700000
4052,Secure Personal Loan,Personal Loan,Secure Personal Loan,5/24/2017,1/1/1999,open,0,16,60,0,852,0,1100000,1000000
2845,Secure Personal Loan,Personal Loan,Secure Personal Loan,5/24/2017,1/1/1999,open,0,16,60,0,852,0,1100000,1000000
3112,National Home Loan,home loan,National Home Loan,5/23/2017,1/1/1999,open,0,11,180,0,250,0,3500000,3000000
126,National Life Cancer Care,life insurance,National Life Cancer Care,5/23/2017,1/1/1999,open,0,0,180,12000,250,0,0,0
50,Foreign Education Loan,educational loan,Foreign Education Loan,5/23/2017,1/1/1999,open,0,10,120,0,250,0,750000,700000
622,National Life Cancer Care,life insurance,National Life Cancer Care,5/23/2017,1/1/1999,open,0,0,180,12000,250,0,0,0
114,Super Saver Facility,fixed deposit,Super Saver Facility,12/21/2015,1/1/1999,open,0,8.5,12,0,6,0,0,
2657,Sweep In Facility,fixed deposit,Sweep In Facility,2/2/2013,1/1/1999,open,0,8.5,12,0,7,0,0,
1944,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,5/22/2017,1/1/1999,open,0,0,0,6000,580,0,0,0
2764,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,5/21/2017,1/1/1999,open,0,0,0,6000,924,0,0,0
574,Secure Personal Loan,Personal Loan,Secure Personal Loan,5/21/2017,1/1/1999,open,0,16,60,0,924,0,1100000,1000000
1016,New Car Loan,car loan,New Car Loan,5/21/2017,1/1/1999,open,0,9.25,60,0,924,0,750000,700000
4011,Private Car Insurance,motor insurance,Private Car Insurance,5/20/2017,1/1/1999,open,,,,0,608,0,0,
2079,Private Car Insurance,motor insurance,Private Car Insurance,5/20/2017,1/1/1999,open,,,,0,608,0,0,
785,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,5/20/2017,1/1/1999,open,0,0,0,6000,608,0,0,0
3509,National Life Cancer Care,life insurance,National Life Cancer Care,5/19/2017,1/1/1999,open,0,0,180,12000,256,0,0,0
4578,Secure Personal Loan,Personal Loan,Secure Personal Loan,5/19/2017,1/1/1999,open,0,16,60,0,256,0,1100000,1000000
2185,National Home Loan,home loan,National Home Loan,5/19/2017,1/1/1999,open,0,11,180,0,256,0,3500000,3000000
4986,National Life Cancer Care,life insurance,National Life Cancer Care,5/18/2017,1/1/1999,open,0,0,180,12000,308,0,0,0
1833,Ergo Home Insurance,home insurance,Ergo Home Insurance,5/18/2017,1/1/1999,open,0,0,60,3000,308,0,0,0
2718,Ergo Home Insurance,home insurance,Ergo Home Insurance,5/18/2017,1/1/1999,open,0,0,60,3000,308,0,0,0
1471,Super Saver Facility,fixed deposit,Super Saver Facility,2/8/2015,1/1/1999,open,0,8.5,12,0,11,0,0,
1805,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,5/16/2017,1/1/1999,open,0,0,0,6000,748,0,0,0
2678,Ergo Home Insurance,home insurance,Ergo Home Insurance,5/16/2017,1/1/1999,open,0,0,60,3000,748,0,0,0
4610,Ergo Home Insurance,home insurance,Ergo Home Insurance,5/15/2017,1/1/1999,open,0,0,60,3000,767,0,0,0
1151,Secure Personal Loan,Personal Loan,Secure Personal Loan,5/15/2017,1/1/1999,open,0,16,60,0,767,0,1100000,1000000
1211,Secure Personal Loan,Personal Loan,Secure Personal Loan,5/15/2017,1/1/1999,open,0,16,60,0,767,0,1100000,1000000
4105,Super Saver Facility,fixed deposit,Super Saver Facility,10/2/2015,1/1/1999,open,0,8.5,12,0,13,0,0,
4487,National Life Cancer Care,life insurance,National Life Cancer Care,5/15/2017,1/1/1999,open,0,0,180,12000,767,0,0,0
3332,SavingsMax Account,savings account,SavingsMax Account,5/15/2017,1/1/1999,open,,,,0,767,0,0,
1217,SavingsMax Account,savings account,SavingsMax Account,5/14/2017,1/1/1999,open,,,,0,652,0,0,
3799,Ergo Home Insurance,home insurance,Ergo Home Insurance,5/14/2017,1/1/1999,open,0,0,60,3000,652,0,0,0
4245,Regular Fixed Deposit,fixed deposit,Regular Fixed Deposit,8/12/2016,1/1/1999,open,0,8.5,12,0,18,0,0,
2768,Private Car Insurance,motor insurance,Private Car Insurance,5/11/2017,1/1/1999,open,,,,0,247,0,0,
3449,Foreign Education Loan,educational loan,Foreign Education Loan,5/11/2017,1/1/1999,open,0,10,120,0,247,0,750000,700000
4265,Ergo Home Insurance,home insurance,Ergo Home Insurance,5/11/2017,1/1/1999,open,0,0,60,3000,247,0,0,0
1244,Foreign Education Loan,educational loan,Foreign Education Loan,5/11/2017,1/1/1999,open,0,10,120,0,247,0,750000,700000
4664,SavingsMax Account,savings account,SavingsMax Account,5/11/2017,1/1/1999,open,,,,0,247,0,0,
2674,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,5/11/2017,1/1/1999,open,0,0,0,6000,247,0,0,0
4410,Foreign Education Loan,educational loan,Foreign Education Loan,5/11/2017,1/1/1999,open,0,10,120,0,247,0,750000,700000
2957,Ultima Current Account,current account,Ultima Current Account,5/11/2017,1/1/1999,open,,,,0,247,0,0,
2531,Secure Personal Loan,Personal Loan,Secure Personal Loan,5/9/2017,1/1/1999,open,0,16,60,0,802,0,1100000,1000000
2557,New Car Loan,car loan,New Car Loan,5/9/2017,1/1/1999,open,0,9.25,60,0,802,0,750000,700000
447,SavingsMax Account,savings account,SavingsMax Account,5/9/2017,1/1/1999,open,,,,0,802,0,0,
2801,National Life Cancer Care,life insurance,National Life Cancer Care,5/8/2017,1/1/1999,open,0,0,180,12000,644,0,0,0
1873,Ergo Home Insurance,home insurance,Ergo Home Insurance,5/8/2017,1/1/1999,open,0,0,60,3000,644,0,0,0
1992,Ergo Home Insurance,home insurance,Ergo Home Insurance,5/8/2017,1/1/1999,open,0,0,60,3000,644,0,0,0
4839,National Home Loan,home loan,National Home Loan,5/8/2017,1/1/1999,open,0,11,180,0,644,0,3500000,3000000
1965,Secure Personal Loan,Personal Loan,Secure Personal Loan,5/8/2017,1/1/1999,open,0,16,60,0,644,0,1100000,1000000
1060,Foreign Education Loan,educational loan,Foreign Education Loan,5/8/2017,1/1/1999,open,0,10,120,0,644,0,750000,700000
1098,Secure Personal Loan,Personal Loan,Secure Personal Loan,5/8/2017,1/1/1999,open,0,16,60,0,644,0,1100000,1000000
3386,National Life Cancer Care,life insurance,National Life Cancer Care,5/5/2017,1/1/1999,open,0,0,180,12000,34,0,0,0
921,New Car Loan,car loan,New Car Loan,5/5/2017,1/1/1999,open,0,9.25,60,0,34,0,750000,700000
4219,Regular Fixed Deposit,fixed deposit,Regular Fixed Deposit,9/21/2016,1/1/1999,open,0,8.5,12,0,26,0,0,
1374,National Home Loan,home loan,National Home Loan,5/5/2017,1/1/1999,open,0,11,180,0,34,0,3500000,3000000
296,SavingsMax Account,savings account,SavingsMax Account,5/5/2017,1/1/1999,open,,,,0,34,0,0,
202,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,5/5/2017,1/1/1999,open,0,0,0,6000,34,0,0,0
3738,New Car Loan,car loan,New Car Loan,5/4/2017,1/1/1999,open,0,9.25,60,0,475,0,750000,700000
3045,National Home Loan,home loan,National Home Loan,5/4/2017,1/1/1999,open,0,11,180,0,475,0,3500000,3000000
1714,Ergo Home Insurance,home insurance,Ergo Home Insurance,5/4/2017,1/1/1999,open,0,0,60,3000,475,0,0,0
762,National Home Loan,home loan,National Home Loan,5/4/2017,1/1/1999,open,0,11,180,0,789,0,3500000,3000000
1213,Sweep In Facility,fixed deposit,Sweep In Facility,12/7/2013,1/1/1999,open,0,8.5,12,0,28,0,0,
3948,SavingsMax Account,savings account,SavingsMax Account,5/1/2017,1/1/1999,open,,,,0,88,0,0,
1695,Ultima Current Account,current account,Ultima Current Account,5/1/2017,1/1/1999,open,,,,0,88,0,0,
4543,Private Car Insurance,motor insurance,Private Car Insurance,5/1/2017,1/1/1999,open,,,,0,126,0,0,
647,SavingsMax Account,savings account,SavingsMax Account,5/1/2017,1/1/1999,open,,,,0,126,0,0,
4313,Secure Personal Loan,Personal Loan,Secure Personal Loan,5/1/2017,1/1/1999,open,0,16,60,0,88,0,1100000,1000000
2998,National Home Loan,home loan,National Home Loan,5/1/2017,1/1/1999,open,0,11,180,0,88,0,3500000,3000000
2117,Private Car Insurance,motor insurance,Private Car Insurance,5/1/2017,1/1/1999,open,,,,0,126,0,0,
3214,SavingsMax Account,savings account,SavingsMax Account,4/30/2017,1/1/1999,open,,,,0,642,0,0,
2072,Private Car Insurance,motor insurance,Private Car Insurance,4/30/2017,1/1/1999,open,,,,0,194,0,0,
876,Foreign Education Loan,educational loan,Foreign Education Loan,4/30/2017,1/1/1999,open,0,10,120,0,194,0,750000,700000
3370,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,4/30/2017,1/1/1999,open,0,0,0,6000,194,0,0,0
607,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,4/30/2017,1/1/1999,open,0,0,0,6000,194,0,0,0
3423,National Home Loan,home loan,National Home Loan,4/30/2017,1/1/1999,open,0,11,180,0,194,0,3500000,3000000
4103,National Home Loan,home loan,National Home Loan,4/30/2017,1/1/1999,open,0,11,180,0,846,0,3500000,3000000
3379,New Car Loan,car loan,New Car Loan,4/30/2017,1/1/1999,open,0,9.25,60,0,916,0,750000,700000
3222,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,4/30/2017,1/1/1999,open,0,0,0,6000,756,0,0,0
2097,Super Saver Facility,fixed deposit,Super Saver Facility,9/18/2014,1/1/1999,open,0,8.5,12,0,35,0,0,
742,National Life Cancer Care,life insurance,National Life Cancer Care,4/30/2017,1/1/1999,open,0,0,180,12000,756,0,0,0
4372,Apex Current Account,current account,Apex Current Account,4/29/2017,1/1/1999,open,,,,0,605,0,0,
94,SavingsMax Account,savings account,SavingsMax Account,4/28/2017,1/1/1999,open,,,,0,410,0,0,
2384,Super Saver Facility,fixed deposit,Super Saver Facility,8/2/2015,1/1/1999,open,0,8.5,12,0,37,0,0,
960,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,4/28/2017,1/1/1999,open,0,0,0,6000,771,0,0,0
2564,Super Saver Facility,fixed deposit,Super Saver Facility,1/30/2015,1/1/1999,open,0,8.5,12,0,37,0,0,
3466,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,4/28/2017,1/1/1999,open,0,0,0,6000,771,0,0,0
2103,National Home Loan,home loan,National Home Loan,4/28/2017,1/1/1999,open,0,11,180,0,771,0,3500000,3000000
413,Foreign Education Loan,educational loan,Foreign Education Loan,4/28/2017,1/1/1999,open,0,10,120,0,771,0,750000,700000
4726,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,4/27/2017,1/1/1999,open,0,0,0,6000,375,0,0,0
487,National Life Cancer Care,life insurance,National Life Cancer Care,4/27/2017,1/1/1999,open,0,0,180,12000,270,0,0,0
500,New Car Loan,car loan,New Car Loan,4/26/2017,1/1/1999,open,0,9.25,60,0,288,0,750000,700000
3150,Regular Fixed Deposit,fixed deposit,Regular Fixed Deposit,3/24/2016,1/1/1999,open,0,8.5,12,0,39,0,0,
3792,Foreign Education Loan,educational loan,Foreign Education Loan,4/26/2017,1/1/1999,open,0,10,120,0,834,0,750000,700000
4465,Secure Personal Loan,Personal Loan,Secure Personal Loan,4/25/2017,1/1/1999,open,0,16,60,0,329,0,1100000,1000000
4030,New Car Loan,car loan,New Car Loan,4/25/2017,1/1/1999,open,0,9.25,60,0,487,0,750000,700000
874,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,4/24/2017,1/1/1999,open,0,0,0,6000,714,0,0,0
36,Private Car Insurance,motor insurance,Private Car Insurance,4/23/2017,1/1/1999,open,,,,0,510,0,0,
4088,Private Car Insurance,motor insurance,Private Car Insurance,4/23/2017,1/1/1999,open,,,,0,393,0,0,
3850,Private Car Insurance,motor insurance,Private Car Insurance,4/23/2017,1/1/1999,open,,,,0,113,0,0,
1031,Secure Personal Loan,Personal Loan,Secure Personal Loan,4/23/2017,1/1/1999,open,0,16,60,0,160,0,1100000,1000000
