sr_id,customer_id,product_id,sr_description,sr_open_date,sr_close_date,sr_type,channel,sr_cust_feedback,Feedback type,"Feedback Severity (Low, Medium, High)"
2602,2,3071,Super Saver Facility fixed deposit Complaint,4/6/2016 0:00,4/6/2016 0:00,Complaint,Net Banking,the complaint was addressed in timely manner to my satisfaction,,
2182,2,3071,Super Saver Facility fixed deposit Enquiry,4/6/2016 0:00,4/6/2016 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
2563,396,690,Foreign Education Loan educational loan Product Support,6/28/2017 0:00,6/28/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
775,396,690,Foreign Education Loan educational loan Enquiry,6/28/2017 0:00,6/28/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
612,762,1435,Secure Personal Loan Personal Loan Complaint,6/27/2017 0:00,6/28/2017 0:00,Complaint,Branch,Case can be closed. Service can be a notch higher,,
2745,762,4012,Foreign Education Loan educational loan Product Support,6/27/2017 0:00,6/28/2017 0:00,Product Support,Branch,Case can be closed. Service can be a notch higher,,
958,159,1129,Ergo Home Insurance home insurance Product Support,6/26/2017 0:00,6/26/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
2729,159,175,SavingsMax Account current account Complaint,6/26/2017 0:00,6/26/2017 0:00,Complaint,Phone Banking,quick turnaround in addressing the complaint. Happy with the customer service,,
2115,852,3937,SavingsMax Account savings account Complaint,6/24/2017 0:00,6/25/2017 0:00,Complaint,Branch,Should have competitive interest rates compared to other bank,,
2662,852,4052,Secure Personal Loan Personal Loan Product Support,6/24/2017 0:00,6/25/2017 0:00,Product Support,Net Banking,Should have competitive interest rates compared to other bank,,
1769,852,2845,Secure Personal Loan Personal Loan Product Support,6/24/2017 0:00,6/25/2017 0:00,Product Support,Phone Banking,Should have competitive interest rates compared to other bank,,
2390,250,126,National Life Cancer Care life insurance Product Support,6/23/2017 0:00,6/23/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
1132,250,126,National Life Cancer Care life insurance Complaint,6/23/2017 0:00,6/23/2017 0:00,Complaint,Net Banking,Issue resolved,,
2653,250,50,Foreign Education Loan educational loan Enquiry,6/23/2017 0:00,6/23/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
426,250,50,Foreign Education Loan educational loan Product Support,6/23/2017 0:00,6/23/2017 0:00,Product Support,Branch,satisfied with the customer support ,,
2338,7,2657,Sweep In Facility fixed deposit Enquiry,2/10/2016 0:00,2/10/2016 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
1503,608,4011,Private Car Insurance motor insurance Complaint,6/20/2017 0:00,6/20/2017 0:00,Complaint,Branch,committed to serving the customers,,
869,11,1471,Super Saver Facility fixed deposit Enquiry,3/22/2016 0:00,3/22/2016 0:00,Enquiry,Phone Banking,satisfied with the customer support ,,
281,11,1471,Super Saver Facility fixed deposit Product Support,4/21/2016 0:00,4/21/2016 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
1511,748,1805,Individual Personal Accident Plan health insurance Product Support,6/16/2017 0:00,6/17/2017 0:00,Product Support,Phone Banking,satisfactory service. Service can be improved,,
723,767,4610,Ergo Home Insurance home insurance Product Support,6/15/2017 0:00,6/16/2017 0:00,Product Support,Branch,Case can be closed. Service can be a notch higher,,
2411,767,1151,Secure Personal Loan Personal Loan Product Support,6/15/2017 0:00,6/16/2017 0:00,Product Support,Phone Banking,Case can be closed. Service can be a notch higher,,
1835,18,4245,Regular Fixed Deposit fixed deposit Product Support,9/12/2016 0:00,9/12/2016 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
