transaction_id,customer_id,product_id,merchant_name,transaction_description,transaction_amount,type_deposit_withdrawal,transaction_date,channel
6556,396,690,National Bank,educational loan Deposit,20695,D,6/28/2017 0:00,Net Banking
161,396,232,Voolia,credit card Deposit,17609,D,6/28/2017 0:00,Branch
10636,396,2570,Tagtune,current account Withdrawal,13875,W,6/28/2017 0:00,Branch
9370,396,4231,National Bank,educational loan Deposit,21694,D,6/28/2017 0:00,Net Banking
3855,396,232,Kazu,credit card Deposit,14879,D,6/28/2017 0:00,Branch
224,396,232,Photofeed,credit card Withdrawal,22211,W,6/28/2017 0:00,Branch
7980,396,2147,National Bank,fixed deposit Deposit,12151,D,6/28/2017 0:00,Net Banking
7453,396,150,National Bank,fixed deposit Deposit,22365,D,6/28/2017 0:00,Net Banking
7663,396,690,National Bank,educational loan Deposit,15734,D,6/28/2017 0:00,Net Banking
2773,396,690,National Bank,educational loan Deposit,-16185,D,6/28/2017 0:00,Net Banking
7805,396,2147,National Bank,fixed deposit Deposit,13521,D,6/28/2017 0:00,Net Banking
5536,396,690,National Bank,educational loan Deposit,20444,D,6/28/2017 0:00,Net Banking
1669,396,690,National Bank,educational loan Deposit,14488,D,6/28/2017 0:00,Net Banking
6957,396,232,Tazz,credit card Deposit,19154,D,6/28/2017 0:00,Branch
514,762,4252,Photobug,savings account Withdrawal,22122,W,6/27/2017 0:00,Branch
1511,762,1435,National Bank,Personal Loan Deposit,20511,D,6/27/2017 0:00,Net Banking
10919,762,4252,Babbleblab,savings account Deposit,20661,D,6/27/2017 0:00,Branch
3284,762,4012,National Bank,educational loan Deposit,8909,D,6/27/2017 0:00,Net Banking
2999,762,4252,Gabvine,savings account Deposit,14725,D,6/27/2017 0:00,Branch
1082,159,3065,Thoughtbridge,savings account Withdrawal,5770,W,6/26/2017 0:00,Branch
9228,159,175,Dynabox,savings account Deposit,23364,D,6/26/2017 0:00,Branch
5897,159,430,National Bank,car loan Deposit,11245,D,6/26/2017 0:00,Net Banking
8849,159,3389,National Bank,health insurance Deposit,5680,D,6/26/2017 0:00,Net Banking
8072,159,3065,Kwinu,savings account Withdrawal,12843,W,6/26/2017 0:00,Branch
7301,159,175,Twitternation,savings account Deposit,21268,D,6/26/2017 0:00,Branch
4422,159,175,Twitterlist,savings account Withdrawal,8224,W,6/26/2017 0:00,Branch
9343,159,1129,National Bank,home insurance Deposit,5844,D,6/26/2017 0:00,Net Banking
9514,159,430,National Bank,car loan Deposit,4951,D,6/26/2017 0:00,Net Banking
5131,159,175,Quire,savings account Withdrawal,19659,W,6/26/2017 0:00,Branch
9188,159,3065,Yabox,savings account Deposit,10954,D,6/26/2017 0:00,Branch
6865,159,3065,Flipbug,savings account Withdrawal,6049,W,6/26/2017 0:00,Branch
3095,159,430,National Bank,car loan Deposit,11326,D,6/26/2017 0:00,Net Banking
178,159,3065,Brainlounge,savings account Withdrawal,7179,W,6/26/2017 0:00,Branch
10291,159,175,Browseblab,savings account Deposit,22396,D,6/26/2017 0:00,Branch
3713,159,3389,National Bank,health insurance Deposit,10227,D,6/26/2017 0:00,Net Banking
6305,159,430,National Bank,car loan Deposit,17373,D,6/26/2017 0:00,Net Banking
3025,159,3065,Fadeo,savings account Deposit,10358,D,6/26/2017 0:00,Branch
1418,852,3488,Centizu,credit card Withdrawal,4480,W,6/24/2017 0:00,Branch
7921,852,4052,National Bank,Personal Loan Deposit,22449,D,6/24/2017 0:00,Net Banking
8108,852,3488,Pixoboo,credit card Deposit,1885,D,6/24/2017 0:00,Branch
8312,852,4415,National Bank,educational loan Deposit,4770,D,6/24/2017 0:00,Net Banking
8247,852,4415,National Bank,educational loan Deposit,8815,D,6/24/2017 0:00,Net Banking
7296,852,3488,Tagtune,credit card Withdrawal,23821,W,6/24/2017 0:00,Branch
